ID,Model,Images,AP50_95_%,AP50_%,AP75_%,APS_%,APM_%,APL_%,AR1_%,AR10_%,AR100_%,AR500_%
s0-m00,YOLO26-N,548,12.704,23.961,11.571,6.448,19.107,28.087,6.294,18.184,27.038,27.549
s0-m10,Backbone experts,548,13.320,24.921,12.252,6.805,20.128,31.577,6.800,18.930,28.052,28.561
s0-m01,AMoE-Mamba-YOLO-N,548,14.176,25.977,13.516,7.172,21.570,31.902,7.001,19.887,29.303,29.820
s0-m11,Backbone experts + AMoE-Mamba Neck,548,13.794,25.487,13.020,7.077,20.898,30.718,6.931,20.077,29.366,29.882
baseline-yolov8n-s0,YOLOv8-N,548,13.623,24.179,13.265,6.290,21.443,32.635,6.357,16.035,21.627,22.007
baseline-yolov10n-s0,YOLOv10-N,548,13.955,25.504,13.451,6.976,21.083,30.879,7.077,19.877,29.251,29.763
baseline-yolo11n-s0,YOLO11-N,548,13.075,23.345,12.509,6.125,20.305,34.306,6.030,15.446,21.076,21.460
baseline-mamba-yolo-t-s0,Mamba-YOLO-T,548,13.008,22.864,12.657,5.906,20.889,32.191,6.328,15.578,20.501,20.789
ablation-m01-single-ss2d-s0,Single selective scan,548,13.942,25.692,13.102,7.152,20.663,32.345,7.081,19.719,29.239,29.777
ablation-m01-homogeneous4-axis-top2-s0,Homogeneous experts,548,13.895,25.787,13.160,7.058,21.023,31.596,6.979,19.655,29.057,29.572
ablation-m01-global-top2-s0,Static global routing,548,13.811,25.382,12.989,6.906,20.990,31.788,6.912,19.633,28.625,29.163
ablation-m01-gap-top2-s0,Pooled global routing,548,13.904,25.916,13.074,7.379,20.582,32.121,6.837,19.673,29.122,29.615
ablation-m01-axis-top1-s0,Axis Top-1,548,13.819,25.367,13.049,6.950,21.203,31.884,6.718,19.667,28.671,29.184
ablation-m01-axis-top4-s0,Axis Top-4,548,14.228,26.025,13.556,7.237,21.265,32.942,7.061,19.833,29.056,29.589
