run,model,seed,ap50_95,ap50,precision,recall
s0-m00,Baseline-Conv-YOLO-N,20260821,12.237460,23.196456,35.721444,27.397559
s0-m01,AMoE-Mamba-YOLO-N,20260821,13.663710,25.012830,37.858839,28.047361
s0-m10,Backbone-MoE-YOLO-N,20260821,12.705447,23.871397,37.822406,27.857828
s0-m11,Backbone-MoE-AMoE-Mamba-YOLO-N,20260821,13.206408,24.347541,37.525179,28.040443
s1-m00,Baseline-Conv-YOLO-N,20260822,12.643054,23.528250,36.836050,27.095096
s1-m01,AMoE-Mamba-YOLO-N,20260822,13.275759,24.407474,38.996367,27.521054
s1-m10,Backbone-MoE-YOLO-N,20260822,12.377771,23.673501,35.886818,27.795840
s1-m11,Backbone-MoE-AMoE-Mamba-YOLO-N,20260822,13.073965,24.324130,38.033973,27.564076
s2-m00,Baseline-Conv-YOLO-N,20260823,12.717252,23.737691,37.284950,27.350290
s2-m01,AMoE-Mamba-YOLO-N,20260823,13.517352,24.658344,38.860098,28.061485
s2-m10,Backbone-MoE-YOLO-N,20260823,12.483973,23.389488,36.953511,27.136429
s2-m11,Backbone-MoE-AMoE-Mamba-YOLO-N,20260823,13.168029,24.429896,37.247215,28.094978
